epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
95,296.383,0.53826,0.4534,0.85807,0.8307,0.80959,0.84185,0.67144,0.76194,0.52156,0.92916,0.00026735,0.00026735,0.00026735
96,299.168,0.53127,0.43806,0.85797,0.8303,0.78896,0.84213,0.6536,0.78629,0.52705,0.94711,0.000264875,0.000264875,0.000264875
97,301.845,0.54389,0.44633,0.86706,0.87945,0.777,0.88207,0.68617,0.77399,0.52046,0.938,0.0002624,0.0002624,0.0002624
98,304.574,0.51867,0.43655,0.86067,0.83269,0.80308,0.88613,0.69502,0.73827,0.54197,0.92596,0.000259925,0.000259925,0.000259925
99,307.268,0.50428,0.42751,0.8499,0.90124,0.77685,0.85961,0.66645,0.78284,0.54975,0.93562,0.00025745,0.00025745,0.00025745
100,309.935,0.51949,0.42589,0.85366,0.88366,0.81071,0.86078,0.67149,0.77671,0.51122,0.93377,0.000254975,0.000254975,0.000254975
101,312.584,0.51448,0.42885,0.85296,0.90503,0.79303,0.85697,0.67083,0.76013,0.50956,0.92785,0.0002525,0.0002525,0.0002525
102,315.269,0.51377,0.4249,0.85476,0.87907,0.7657,0.85573,0.67384,0.7654,0.53547,0.92209,0.000250025,0.000250025,0.000250025
103,317.949,0.49792,0.42425,0.84903,0.8929,0.79419,0.89203,0.70252,0.75107,0.52022,0.92712,0.00024755,0.00024755,0.00024755
104,320.637,0.50419,0.42481,0.86054,0.88614,0.82539,0.85362,0.67271,0.73894,0.49538,0.92418,0.000245075,0.000245075,0.000245075
105,323.34,0.51108,0.43034,0.85645,0.90081,0.81097,0.84886,0.67607,0.73185,0.49913,0.91944,0.0002426,0.0002426,0.0002426
106,326.028,0.5019,0.41876,0.85281,0.88429,0.82711,0.85238,0.67661,0.7405,0.49105,0.9163,0.000240125,0.000240125,0.000240125
107,328.72,0.50727,0.42567,0.85003,0.89162,0.81915,0.85722,0.67893,0.72534,0.48161,0.92251,0.00023765,0.00023765,0.00023765
108,331.399,0.49818,0.42265,0.85103,0.91647,0.79489,0.85677,0.67346,0.79572,0.49194,0.93476,0.000235175,0.000235175,0.000235175
